MainBranch,Employment,Country,US_State,Age1stCode,YearsCode,YearsCodePro,OrgSize,CompFreq,OpSys,SOVisitFreq,SOAccount,SOPartFreq,Age,Gender,Trans,ConvertedCompYearly
"I am not primarily a developer, but I write code sometimes as part of my work",Employed full-time,United States of America,Alabama,11 - 17 years,20,12,"5,000 to 9,999 employees",Yearly,Windows,Multiple times per day,Yes,Daily or almost daily,25-34 years old,Man,No,29000
I am a developer by profession,Employed full-time,United States of America,Minnesota,5 - 10 years,10,6,100 to 499 employees,Yearly,Other (please specify):,Multiple times per day,Yes,Daily or almost daily,25-34 years old,Man,No,170000
I am a developer by profession,Employed full-time,United States of America,Kansas,11 - 17 years,9,4,10 to 19 employees,Yearly,Windows,Multiple times per day,Yes,A few times per week,25-34 years old,Man,No,70000
I am a developer by profession,Employed full-time,United States of America,Wisconsin,11 - 17 years,8,2,10 to 19 employees,Weekly,MacOS,Multiple times per day,Yes,Multiple times per day,25-34 years old,Man,No,40000
"I am not primarily a developer, but I write code sometimes as part of my work",Employed full-time,United States of America,Minnesota,11 - 17 years,22,4,100 to 499 employees,Yearly,Linux-based,A few times per week,Yes,A few times per month or weekly,35-44 years old,Man,No,85000
I am a developer by profession,Employed full-time,United States of America,California,18 - 24 years,6,2,500 to 999 employees,Yearly,Windows,Multiple times per day,Yes,I have never participated in Q&A on Stack Overflow,25-34 years old,Man,No,100000
I am a developer by profession,Employed full-time,United States of America,New York,11 - 17 years,5,3,100 to 499 employees,Yearly,Linux-based,Daily or almost daily,Yes,A few times per month or weekly,18-24 years old,Man,No,92000
I am a developer by profession,Employed full-time,United States of America,North Carolina,11 - 17 years,15,12,"1,000 to 4,999 employees",Yearly,Windows,Multiple times per day,Yes,Multiple times per day,25-34 years old,Man,No,135000
I am a developer by profession,Employed full-time,United States of America,Massachusetts,18 - 24 years,8,4,100 to 499 employees,Yearly,MacOS,Daily or almost daily,Yes,A few times per week,25-34 years old,Man,No,150000
I am a developer by profession,Employed full-time,United States of America,Florida,18 - 24 years,21,19,100 to 499 employees,Yearly,Windows,Multiple times per day,Yes,Daily or almost daily,35-44 years old,Man,No,65000
I am a developer by profession,Employed full-time,United States of America,Tennessee,11 - 17 years,39,35,"1,000 to 4,999 employees",Weekly,Linux-based,Multiple times per day,Yes,Multiple times per day,45-54 years old,Man,No,110000
I am a developer by profession,Employed full-time,United States of America,Maryland,11 - 17 years,40,21,20 to 99 employees,Yearly,Linux-based,Daily or almost daily,Yes,A few times per month or weekly,55-64 years old,Man,No,190000
I am a developer by profession,Employed full-time,United States of America,Minnesota,11 - 17 years,14,8,500 to 999 employees,Yearly,Windows,Multiple times per day,Yes,Multiple times per day,25-34 years old,Man,No,57765
I am a developer by profession,Employed full-time,United States of America,North Dakota,18 - 24 years,6,3,100 to 499 employees,Yearly,Windows,Daily or almost daily,Yes,Daily or almost daily,25-34 years old,Man,No,40000
I am a developer by profession,Employed full-time,United States of America,Pennsylvania,5 - 10 years,6,2,2 to 9 employees,Yearly,Windows,Multiple times per day,Yes,A few times per month or weekly,Under 18 years old,Man,No,37440
I am a developer by profession,Employed full-time,United States of America,New Jersey,11 - 17 years,10,8,"1,000 to 4,999 employees",Yearly,Linux-based,Multiple times per day,Yes,A few times per month or weekly,35-44 years old,Man,No,430000
I am a developer by profession,Employed full-time,United States of America,Colorado,11 - 17 years,5,4,100 to 499 employees,Yearly,MacOS,Daily or almost daily,Yes,Less than once per month or monthly,25-34 years old,Man,No,133000
"I am not primarily a developer, but I write code sometimes as part of my work",Employed full-time,United States of America,Utah,5 - 10 years,25,19,"1,000 to 4,999 employees",Yearly,MacOS,A few times per week,Yes,I have never participated in Q&A on Stack Overflow,45-54 years old,Man,No,125000
I am a developer by profession,Employed full-time,United States of America,Kansas,5 - 10 years,40,25,20 to 99 employees,Yearly,Windows,Multiple times per day,Yes,A few times per week,45-54 years old,Man,No,98000
I am a developer by profession,Employed full-time,United States of America,Utah,11 - 17 years,20,3,"10,000 or more employees",Yearly,Windows,Multiple times per day,Yes,I have never participated in Q&A on Stack Overflow,35-44 years old,Man,No,73500
I am a developer by profession,Employed full-time,United States of America,California,18 - 24 years,3,1,20 to 99 employees,Yearly,MacOS,A few times per week,Yes,Less than once per month or monthly,25-34 years old,Man,No,82000
I am a developer by profession,Employed full-time,United States of America,Connecticut,18 - 24 years,12,10,2 to 9 employees,Yearly,Windows,Daily or almost daily,Yes,Multiple times per day,25-34 years old,Man,No,105000
I am a developer by profession,Employed full-time,United States of America,Georgia,11 - 17 years,15,9,"10,000 or more employees",Yearly,MacOS,Multiple times per day,Yes,A few times per week,25-34 years old,Man,No,135000
I am a developer by profession,Employed full-time,United States of America,New Jersey,11 - 17 years,15,8,100 to 499 employees,Yearly,Windows,Daily or almost daily,Yes,A few times per week,25-34 years old,Man,No,200000
I am a developer by profession,Employed full-time,United States of America,Indiana,11 - 17 years,20,10,"1,000 to 4,999 employees",Yearly,MacOS,A few times per week,Yes,A few times per month or weekly,25-34 years old,Man,No,58000
I am a developer by profession,Employed full-time,United States of America,Michigan,18 - 24 years,3,2,2 to 9 employees,Yearly,MacOS,Multiple times per day,Yes,Less than once per month or monthly,25-34 years old,Man,No,70000
I am a developer by profession,Employed full-time,United States of America,Texas,5 - 10 years,30,20,100 to 499 employees,Yearly,Windows,Multiple times per day,Yes,Daily or almost daily,35-44 years old,Man,No,130000
I am a developer by profession,Employed full-time,United States of America,New York,5 - 10 years,45,33,100 to 499 employees,Yearly,MacOS,Multiple times per day,Yes,Multiple times per day,45-54 years old,Man,No,175000
"I am not primarily a developer, but I write code sometimes as part of my work",Employed full-time,United States of America,South Carolina,11 - 17 years,25,4,"1,000 to 4,999 employees",Yearly,Windows,Daily or almost daily,Yes,A few times per month or weekly,35-44 years old,Man,No,55702
I am a developer by profession,Employed full-time,United States of America,North Carolina,11 - 17 years,13,4,"10,000 or more employees",Yearly,Windows,Multiple times per day,Yes,A few times per week,18-24 years old,Man,No,72000
I am a developer by profession,Employed full-time,United States of America,Florida,5 - 10 years,33,20,"1,000 to 4,999 employees",Yearly,Windows,Daily or almost daily,Yes,Less than once per month or monthly,35-44 years old,Man,No,110000
I am a developer by profession,Employed full-time,United States of America,Wisconsin,11 - 17 years,18,13,10 to 19 employees,Yearly,Windows,Daily or almost daily,Yes,A few times per month or weekly,25-34 years old,Man,No,155000
I am a developer by profession,Employed full-time,United States of America,Maryland,5 - 10 years,43,35,2 to 9 employees,Yearly,Linux-based,Multiple times per day,Yes,Multiple times per day,45-54 years old,Man,No,70000
I am a developer by profession,Employed full-time,United States of America,Florida,11 - 17 years,10,4,20 to 99 employees,Yearly,MacOS,Multiple times per day,Yes,A few times per week,25-34 years old,Man,No,105000
I am a developer by profession,Employed full-time,United States of America,Florida,35 - 44 years,35,25,100 to 499 employees,Yearly,Windows,Multiple times per day,Yes,Daily or almost daily,35-44 years old,Man,No,156000
I am a developer by profession,Employed full-time,United States of America,NA,11 - 17 years,12,9,100 to 499 employees,Yearly,Linux-based,Daily or almost daily,Yes,Daily or almost daily,25-34 years old,Man,No,230000
I am a developer by profession,Employed full-time,United States of America,Ohio,11 - 17 years,20,15,100 to 499 employees,Yearly,Windows,A few times per week,Yes,Less than once per month or monthly,35-44 years old,Man,No,120000
I am a developer by profession,Employed full-time,United States of America,Minnesota,11 - 17 years,12,8,20 to 99 employees,Yearly,MacOS,Daily or almost daily,Yes,Daily or almost daily,25-34 years old,Man,No,66500
I am a developer by profession,Employed full-time,United States of America,Illinois,5 - 10 years,15,7,2 to 9 employees,Yearly,MacOS,Multiple times per day,Yes,A few times per month or weekly,25-34 years old,Man,No,125000
I am a developer by profession,Employed full-time,United States of America,New Jersey,5 - 10 years,30,12,500 to 999 employees,Yearly,MacOS,A few times per week,Yes,A few times per week,35-44 years old,Man,No,400000
I am a developer by profession,Employed full-time,United States of America,Florida,5 - 10 years,27,25,20 to 99 employees,Yearly,Windows,Multiple times per day,Yes,Less than once per month or monthly,45-54 years old,Man,No,160000
I am a developer by profession,Employed full-time,United States of America,Montana,11 - 17 years,8,3,100 to 499 employees,Yearly,Linux-based,Multiple times per day,Yes,A few times per week,25-34 years old,Man,No,64000
I am a developer by profession,Employed full-time,United States of America,New York,25 - 34 years,14,7,"10,000 or more employees",Yearly,Linux-based,Multiple times per day,Yes,Multiple times per day,25-34 years old,Man,No,135000
I am a developer by profession,Employed full-time,United States of America,South Carolina,18 - 24 years,7,3,20 to 99 employees,Yearly,MacOS,Multiple times per day,Yes,A few times per month or weekly,25-34 years old,Man,No,85000
I am a developer by profession,Employed full-time,United States of America,Michigan,11 - 17 years,16,15,2 to 9 employees,Yearly,MacOS,Multiple times per day,Yes,A few times per week,25-34 years old,Man,No,120000
I am a developer by profession,Employed full-time,United States of America,North Carolina,11 - 17 years,13,11,100 to 499 employees,Yearly,MacOS,Daily or almost daily,Yes,A few times per week,25-34 years old,Man,No,155000
I am a developer by profession,Employed full-time,United States of America,Maryland,11 - 17 years,15,5,20 to 99 employees,Yearly,Linux-based,Daily or almost daily,Yes,A few times per week,25-34 years old,Man,No,115000
I am a developer by profession,Employed full-time,United States of America,New Jersey,11 - 17 years,14,10,100 to 499 employees,Yearly,Windows,Multiple times per day,Yes,A few times per month or weekly,35-44 years old,Man,No,200000
I am a developer by profession,Employed full-time,United States of America,Georgia,11 - 17 years,23,10,500 to 999 employees,Yearly,MacOS,Multiple times per day,Yes,A few times per month or weekly,35-44 years old,Man,No,142000
I am a developer by profession,Employed full-time,United States of America,Utah,11 - 17 years,10,8,20 to 99 employees,Yearly,MacOS,Daily or almost daily,Yes,A few times per month or weekly,25-34 years old,Man,No,125000
I am a developer by profession,Employed full-time,United States of America,Maine,5 - 10 years,30,12,2 to 9 employees,Yearly,MacOS,Daily or almost daily,Yes,A few times per week,35-44 years old,Man,No,175000
I am a developer by profession,Employed full-time,United States of America,Pennsylvania,11 - 17 years,22,12,"10,000 or more employees",Yearly,Windows,A few times per week,Yes,Less than once per month or monthly,35-44 years old,Man,No,126000
"I am not primarily a developer, but I write code sometimes as part of my work",Employed full-time,United States of America,Georgia,5 - 10 years,31,18,100 to 499 employees,Yearly,MacOS,Multiple times per day,Yes,Multiple times per day,35-44 years old,Man,No,175000
I am a developer by profession,Employed full-time,United States of America,New York,5 - 10 years,20,9,10 to 19 employees,Yearly,Linux-based,Daily or almost daily,Yes,Less than once per month or monthly,25-34 years old,Man,No,190000
I am a developer by profession,Employed full-time,United States of America,Pennsylvania,11 - 17 years,10,3,20 to 99 employees,Yearly,MacOS,Multiple times per day,Yes,A few times per week,18-24 years old,Man,No,550000
I am a developer by profession,Employed full-time,United States of America,Utah,11 - 17 years,42,37,2 to 9 employees,Yearly,Windows,Multiple times per day,Yes,A few times per week,55-64 years old,Man,No,220000
I am a developer by profession,Employed full-time,United States of America,Maryland,11 - 17 years,30,30,"5,000 to 9,999 employees",Yearly,Windows,Daily or almost daily,Yes,A few times per month or weekly,45-54 years old,Man,No,153000
I am a developer by profession,Employed full-time,United States of America,Ohio,11 - 17 years,10,4,100 to 499 employees,Yearly,Windows,Daily or almost daily,Yes,A few times per week,25-34 years old,Man,No,75000
I am a developer by profession,Employed full-time,United States of America,Kentucky,5 - 10 years,30,20,"10,000 or more employees",Yearly,Linux-based,A few times per week,Yes,A few times per month or weekly,35-44 years old,Woman,Yes,215000
I am a developer by profession,Employed full-time,United States of America,Florida,11 - 17 years,15,10,100 to 499 employees,Yearly,Linux-based,Daily or almost daily,Yes,Daily or almost daily,35-44 years old,Man,No,200000
I am a developer by profession,Employed full-time,United States of America,North Carolina,11 - 17 years,23,15,"1,000 to 4,999 employees",Yearly,MacOS,Daily or almost daily,Yes,A few times per week,35-44 years old,Man,No,203000
"I am not primarily a developer, but I write code sometimes as part of my work",Employed full-time,United States of America,Minnesota,5 - 10 years,23,5,"1,000 to 4,999 employees",Yearly,Windows,Multiple times per day,Yes,Less than once per month or monthly,25-34 years old,Man,No,100000
I am a developer by profession,Employed full-time,United States of America,Michigan,11 - 17 years,10,5,10 to 19 employees,Yearly,Linux-based,Multiple times per day,Yes,Less than once per month or monthly,25-34 years old,Man,No,80325
"I am not primarily a developer, but I write code sometimes as part of my work",Employed full-time,United States of America,Pennsylvania,11 - 17 years,11,3,20 to 99 employees,Yearly,Windows,A few times per week,Yes,I have never participated in Q&A on Stack Overflow,25-34 years old,Man,No,82750
I am a developer by profession,Employed full-time,United States of America,New Jersey,11 - 17 years,10,8,"10,000 or more employees",Yearly,Windows,Multiple times per day,Yes,A few times per week,25-34 years old,Man,No,110000
I am a developer by profession,Employed full-time,United States of America,New York,18 - 24 years,10,7,"10,000 or more employees",Yearly,MacOS,Multiple times per day,Yes,A few times per week,25-34 years old,Man,No,300000
I am a developer by profession,Employed full-time,United States of America,Colorado,5 - 10 years,20,5,"10,000 or more employees",Yearly,MacOS,Daily or almost daily,Yes,A few times per week,25-34 years old,Man,No,200000
I am a developer by profession,Employed full-time,United States of America,New York,18 - 24 years,8,4,"1,000 to 4,999 employees",Yearly,MacOS,Multiple times per day,Yes,Daily or almost daily,25-34 years old,Man,No,144000
I am a developer by profession,Employed full-time,United States of America,Tennessee,18 - 24 years,43,43,"10,000 or more employees",Yearly,Windows,Daily or almost daily,Yes,Daily or almost daily,55-64 years old,Man,No,83000
I am a developer by profession,Employed full-time,United States of America,Oregon,11 - 17 years,13,3,20 to 99 employees,Monthly,Windows,Multiple times per day,Yes,Daily or almost daily,25-34 years old,Man,No,75636
I am a developer by profession,Employed full-time,United States of America,Georgia,25 - 34 years,1,1,"10,000 or more employees",Yearly,MacOS,A few times per month or weekly,Yes,Less than once per month or monthly,35-44 years old,Man,No,100000
"I am not primarily a developer, but I write code sometimes as part of my work",Employed full-time,United States of America,California,11 - 17 years,47,40,"10,000 or more employees",Yearly,Linux-based,A few times per week,Yes,A few times per month or weekly,55-64 years old,Man,No,200000
I am a developer by profession,Employed full-time,United States of America,New York,11 - 17 years,10,6,100 to 499 employees,Yearly,MacOS,A few times per week,Yes,A few times per month or weekly,25-34 years old,Man,No,80000
I am a developer by profession,Employed full-time,United States of America,New York,25 - 34 years,5,4,"5,000 to 9,999 employees",Yearly,MacOS,Multiple times per day,Yes,Multiple times per day,25-34 years old,Man,No,166000
I am a developer by profession,Employed full-time,United States of America,Massachusetts,11 - 17 years,17,13,"10,000 or more employees",Yearly,Linux-based,Daily or almost daily,Yes,A few times per week,25-34 years old,Man,No,220000
I am a developer by profession,Employed full-time,United States of America,New York,5 - 10 years,32,21,20 to 99 employees,Yearly,Windows,Daily or almost daily,Yes,A few times per month or weekly,35-44 years old,Man,No,90000
I am a developer by profession,Employed full-time,United States of America,Ohio,11 - 17 years,3,1,20 to 99 employees,Yearly,MacOS,Multiple times per day,Yes,A few times per month or weekly,25-34 years old,Man,No,65000
I am a developer by profession,Employed full-time,United States of America,Colorado,18 - 24 years,10,7,"10,000 or more employees",Yearly,MacOS,A few times per week,Yes,Less than once per month or monthly,25-34 years old,Man,No,160000
I am a developer by profession,Employed full-time,United States of America,Georgia,5 - 10 years,20,8,100 to 499 employees,Yearly,Windows,Daily or almost daily,Yes,Less than once per month or monthly,35-44 years old,Man,No,200000
I am a developer by profession,Employed full-time,United States of America,Minnesota,5 - 10 years,28,25,20 to 99 employees,Yearly,Windows,Multiple times per day,Yes,A few times per month or weekly,45-54 years old,Man,No,120000
"I am not primarily a developer, but I write code sometimes as part of my work",Employed full-time,United States of America,West Virginia,11 - 17 years,42,25,500 to 999 employees,Yearly,MacOS,Daily or almost daily,Yes,Daily or almost daily,45-54 years old,Man,No,160000
I am a developer by profession,Employed full-time,United States of America,Florida,5 - 10 years,25,16,"10,000 or more employees",Yearly,Linux-based,Multiple times per day,Yes,Less than once per month or monthly,45-54 years old,Man,No,105000
I am a developer by profession,Employed full-time,United States of America,Ohio,11 - 17 years,12,7,20 to 99 employees,Yearly,MacOS,A few times per week,Yes,A few times per month or weekly,25-34 years old,Man,No,83200
I am a developer by profession,Employed full-time,United States of America,Ohio,11 - 17 years,10,4,"10,000 or more employees",Yearly,MacOS,Multiple times per day,Yes,A few times per month or weekly,25-34 years old,Man,No,81000
I am a developer by profession,Employed full-time,United States of America,Maryland,18 - 24 years,10,8,10 to 19 employees,Yearly,Linux-based,Daily or almost daily,Yes,Daily or almost daily,25-34 years old,Man,No,106000
I am a developer by profession,Employed full-time,United States of America,Indiana,11 - 17 years,9,7,20 to 99 employees,Yearly,MacOS,Multiple times per day,Yes,Multiple times per day,35-44 years old,Man,No,125000
I am a developer by profession,Employed full-time,United States of America,Oregon,11 - 17 years,50,31,"10,000 or more employees",Yearly,Windows,Multiple times per day,Yes,Multiple times per day,45-54 years old,Man,No,250000
"I am not primarily a developer, but I write code sometimes as part of my work",Employed full-time,United States of America,New Hampshire,11 - 17 years,20,15,"1,000 to 4,999 employees",Yearly,Linux-based,Multiple times per day,Yes,Daily or almost daily,35-44 years old,Man,No,200000
I am a developer by profession,Employed full-time,United States of America,Massachusetts,18 - 24 years,12,3,2 to 9 employees,Yearly,Linux-based,A few times per month or weekly,Yes,Less than once per month or monthly,25-34 years old,Man,No,93000
I am a developer by profession,Employed full-time,United States of America,Georgia,5 - 10 years,20,5,2 to 9 employees,Yearly,Windows,A few times per week,Yes,Less than once per month or monthly,25-34 years old,Man,No,77250
I am a developer by profession,Employed full-time,United States of America,Pennsylvania,11 - 17 years,6,4,20 to 99 employees,Monthly,Windows,A few times per week,Yes,Less than once per month or monthly,25-34 years old,Man,No,840000
I am a developer by profession,Employed full-time,United States of America,Michigan,11 - 17 years,14,10,100 to 499 employees,Yearly,Windows,Daily or almost daily,Yes,I have never participated in Q&A on Stack Overflow,25-34 years old,Man,No,129600
I am a developer by profession,Employed full-time,United States of America,North Carolina,11 - 17 years,40,25,"5,000 to 9,999 employees",Yearly,Windows,A few times per week,Yes,A few times per week,45-54 years old,Man,No,116000
I am a developer by profession,Employed full-time,United States of America,Minnesota,11 - 17 years,10,5,"10,000 or more employees",Yearly,MacOS,Daily or almost daily,Yes,Less than once per month or monthly,25-34 years old,Man,No,65000
I am a developer by profession,Employed full-time,United States of America,New Jersey,11 - 17 years,41,35,10 to 19 employees,Yearly,Windows,Daily or almost daily,Yes,A few times per month or weekly,55-64 years old,Man,No,160000
I am a developer by profession,Employed full-time,United States of America,Florida,18 - 24 years,4,2,"10,000 or more employees",Yearly,Windows,Daily or almost daily,Yes,Less than once per month or monthly,25-34 years old,Man,No,68000
I am a developer by profession,Employed full-time,United States of America,Minnesota,11 - 17 years,35,20,"1,000 to 4,999 employees",Yearly,Windows,Daily or almost daily,Yes,A few times per week,45-54 years old,Man,No,144000
"I am not primarily a developer, but I write code sometimes as part of my work",Employed full-time,United States of America,Ohio,18 - 24 years,6,2,"10,000 or more employees",Yearly,Linux-based,A few times per week,Yes,A few times per month or weekly,25-34 years old,Man,No,60000
I am a developer by profession,Employed full-time,United States of America,Arizona,11 - 17 years,11,7,2 to 9 employees,Yearly,Windows,Daily or almost daily,Yes,Less than once per month or monthly,18-24 years old,Man,No,66000
I am a developer by profession,Employed full-time,United States of America,Vermont,11 - 17 years,10,1,"5,000 to 9,999 employees",Yearly,MacOS,Daily or almost daily,Yes,A few times per month or weekly,18-24 years old,Man,No,90000
"I am not primarily a developer, but I write code sometimes as part of my work",Employed full-time,United States of America,Massachusetts,11 - 17 years,6,1,100 to 499 employees,Yearly,Windows,Daily or almost daily,Yes,A few times per month or weekly,18-24 years old,Man,No,65000
I am a developer by profession,Employed full-time,United States of America,Illinois,11 - 17 years,30,26,"5,000 to 9,999 employees",Weekly,Windows,Daily or almost daily,Yes,Daily or almost daily,55-64 years old,Man,No,150000
I am a developer by profession,Employed full-time,United States of America,Pennsylvania,35 - 44 years,13,11,"1,000 to 4,999 employees",Yearly,Windows,Daily or almost daily,Yes,A few times per month or weekly,45-54 years old,Man,No,105000
I am a developer by profession,Employed full-time,United States of America,Utah,25 - 34 years,10,3,10 to 19 employees,Yearly,Windows,A few times per week,Yes,Less than once per month or monthly,35-44 years old,Man,No,70000
I am a developer by profession,Employed full-time,United States of America,Illinois,11 - 17 years,16,8,"5,000 to 9,999 employees",Yearly,Windows,Daily or almost daily,Yes,Daily or almost daily,25-34 years old,"Non-binary, genderqueer, or gender non-conforming",Yes,150000
I am a developer by profession,Employed full-time,United States of America,Arizona,11 - 17 years,12,12,"1,000 to 4,999 employees",Yearly,Windows,Multiple times per day,Yes,A few times per month or weekly,35-44 years old,Man,No,80000
I am a developer by profession,Employed full-time,United States of America,Illinois,11 - 17 years,15,10,"5,000 to 9,999 employees",Yearly,Windows,A few times per month or weekly,No,NA,25-34 years old,Man,No,250000
I am a developer by profession,Employed full-time,United States of America,Florida,11 - 17 years,15,10,500 to 999 employees,Yearly,MacOS,Daily or almost daily,Yes,A few times per week,25-34 years old,Man,No,155000
I am a developer by profession,Employed full-time,United States of America,New York,5 - 10 years,18,6,"10,000 or more employees",Yearly,Linux-based,Multiple times per day,Yes,Daily or almost daily,25-34 years old,Man,No,270000
I am a developer by profession,Employed full-time,United States of America,Washington,Younger than 5 years,12,12,"10,000 or more employees",Yearly,Linux-based,A few times per week,Yes,Less than once per month or monthly,25-34 years old,Man,No,365000
I am a developer by profession,Employed full-time,United States of America,Pennsylvania,11 - 17 years,5,5,"1,000 to 4,999 employees",Yearly,MacOS,A few times per week,Yes,A few times per month or weekly,45-54 years old,Man,No,140000
