MainBranch,Employment,Country,US_State,Age1stCode,YearsCode,YearsCodePro,OrgSize,CompFreq,OpSys,SOVisitFreq,SOAccount,SOPartFreq,Age,Gender,Trans,ConvertedCompYearly
I am a developer by profession,Employed full-time,Switzerland,NA,11 - 17 years,38,26,"1,000 to 4,999 employees",Yearly,Windows,Multiple times per day,Yes,Multiple times per day,55-64 years old,Man,No,134176
I am a developer by profession,Employed full-time,United Kingdom of Great Britain and Northern Ireland,NA,11 - 17 years,10,3,"1,000 to 4,999 employees",Yearly,Windows,A few times per week,Yes,Less than once per month or monthly,18-24 years old,Man,No,64630
I am a developer by profession,Employed full-time,Spain,NA,25 - 34 years,10,8,100 to 499 employees,Yearly,Windows,Multiple times per day,Yes,A few times per week,25-34 years old,Man,No,38915
I am a developer by profession,Employed full-time,Italy,NA,11 - 17 years,13,2,500 to 999 employees,Monthly,Windows,Daily or almost daily,Yes,Daily or almost daily,25-34 years old,Man,No,14268
I am a developer by profession,Employed full-time,France,NA,18 - 24 years,5,2,"1,000 to 4,999 employees",Yearly,Windows,Multiple times per day,Yes,I have never participated in Q&A on Stack Overflow,25-34 years old,Man,NA,45401
I am a developer by profession,Employed full-time,Austria,NA,18 - 24 years,12,8,500 to 999 employees,Monthly,Linux-based,Daily or almost daily,Yes,A few times per week,25-34 years old,Man,No,59676
I am a developer by profession,Employed full-time,Germany,NA,25 - 34 years,6,3,20 to 99 employees,Monthly,Windows,Multiple times per day,Yes,A few times per month or weekly,25-34 years old,Man,No,596700
I am a developer by profession,Employed full-time,United Kingdom of Great Britain and Northern Ireland,NA,11 - 17 years,1,3,10 to 19 employees,Yearly,MacOS,Multiple times per day,Yes,I have never participated in Q&A on Stack Overflow,25-34 years old,Man,No,38778
I am a developer by profession,Employed full-time,Germany,NA,5 - 10 years,27,11,100 to 499 employees,Yearly,MacOS,A few times per week,Yes,A few times per month or weekly,25-34 years old,Man,No,97288
I am a developer by profession,Employed full-time,France,NA,11 - 17 years,7,5,2 to 9 employees,Yearly,Linux-based,Multiple times per day,Yes,Daily or almost daily,18-24 years old,Man,No,49725
I am a developer by profession,Employed full-time,United Kingdom of Great Britain and Northern Ireland,NA,11 - 17 years,31,25,"10,000 or more employees",Yearly,Windows,Daily or almost daily,Yes,A few times per week,45-54 years old,Man,No,70047
"I am not primarily a developer, but I write code sometimes as part of my work",Employed full-time,Switzerland,NA,18 - 24 years,9,6,"1,000 to 4,999 employees",Monthly,Linux-based,Daily or almost daily,Yes,A few times per month or weekly,25-34 years old,Man,No,43908
I am a developer by profession,Employed full-time,United Kingdom of Great Britain and Northern Ireland,NA,5 - 10 years,42,22,"10,000 or more employees",Yearly,Windows,A few times per week,Yes,A few times per month or weekly,45-54 years old,Man,No,71093
I am a developer by profession,Employed full-time,Italy,NA,18 - 24 years,16,14,"10,000 or more employees",Yearly,Windows,Daily or almost daily,Yes,A few times per month or weekly,35-44 years old,Man,No,54049
I am a developer by profession,Employed full-time,Ireland,NA,18 - 24 years,14,11,500 to 999 employees,Yearly,MacOS,Daily or almost daily,Yes,A few times per month or weekly,25-34 years old,Man,No,69183
I am a developer by profession,Employed full-time,United Kingdom of Great Britain and Northern Ireland,NA,18 - 24 years,35,25,"5,000 to 9,999 employees",Yearly,Windows,Multiple times per day,Yes,Multiple times per day,55-64 years old,Man,No,60752
I am a developer by profession,Employed full-time,Poland,NA,11 - 17 years,6,3,100 to 499 employees,Monthly,Linux-based,Multiple times per day,Yes,Multiple times per day,35-44 years old,Man,No,16704
I am a developer by profession,Employed full-time,United Kingdom of Great Britain and Northern Ireland,NA,11 - 17 years,20,13,20 to 99 employees,Yearly,Windows,Multiple times per day,Yes,A few times per week,35-44 years old,Man,No,84019
I am a developer by profession,Employed full-time,Ireland,NA,11 - 17 years,12,7,"1,000 to 4,999 employees",Yearly,MacOS,A few times per week,Yes,Less than once per month or monthly,25-34 years old,Man,No,91883
I am a developer by profession,Employed full-time,Germany,NA,11 - 17 years,25,NA,100 to 499 employees,Yearly,MacOS,Daily or almost daily,Yes,A few times per month or weekly,35-44 years old,Man,No,124
I am a developer by profession,Employed full-time,United Kingdom of Great Britain and Northern Ireland,NA,11 - 17 years,24,14,100 to 499 employees,Yearly,Linux-based,Multiple times per day,Yes,Daily or almost daily,35-44 years old,Man,No,77556
I am a developer by profession,Employed full-time,Switzerland,NA,11 - 17 years,28,22,"1,000 to 4,999 employees",Yearly,Linux-based,Multiple times per day,Yes,A few times per month or weekly,35-44 years old,Man,No,121979
I am a developer by profession,Employed full-time,Belgium,NA,18 - 24 years,12,9,"1,000 to 4,999 employees",Yearly,Other (please specify):,A few times per week,Yes,A few times per month or weekly,35-44 years old,Man,No,75669
I am a developer by profession,Employed full-time,United Kingdom of Great Britain and Northern Ireland,NA,11 - 17 years,14,7,"10,000 or more employees",Yearly,MacOS,Daily or almost daily,Yes,A few times per month or weekly,25-34 years old,Man,No,103408
I am a developer by profession,Employed full-time,France,NA,11 - 17 years,15,5,10 to 19 employees,Yearly,Windows,Daily or almost daily,Yes,A few times per week,25-34 years old,Man,No,44320
I am a developer by profession,Employed full-time,Germany,NA,11 - 17 years,10,5,20 to 99 employees,Monthly,Linux-based,A few times per month or weekly,Yes,Less than once per month or monthly,18-24 years old,Man,No,51888
I am a developer by profession,Employed full-time,France,NA,18 - 24 years,12,9,10 to 19 employees,Yearly,MacOS,Multiple times per day,Yes,Multiple times per day,25-34 years old,Man,No,64859
I am a developer by profession,Employed full-time,Germany,NA,11 - 17 years,6,3,"1,000 to 4,999 employees",Yearly,Windows,Daily or almost daily,Yes,A few times per month or weekly,18-24 years old,Man,No,42158
"I am not primarily a developer, but I write code sometimes as part of my work",Employed full-time,France,NA,11 - 17 years,16,12,100 to 499 employees,Monthly,Linux-based,Less than once per month or monthly,Yes,Less than once per month or monthly,35-44 years old,Man,No,35028
"I am not primarily a developer, but I write code sometimes as part of my work",Employed full-time,Portugal,NA,11 - 17 years,9,3,"1,000 to 4,999 employees",Monthly,Windows,Multiple times per day,Yes,A few times per month or weekly,25-34 years old,Man,No,9084
I am a developer by profession,Employed full-time,Germany,NA,11 - 17 years,13,8,"1,000 to 4,999 employees",Yearly,Windows,Daily or almost daily,Yes,Daily or almost daily,35-44 years old,Man,No,74588
I am a developer by profession,Employed full-time,United Kingdom of Great Britain and Northern Ireland,NA,11 - 17 years,12,3,"10,000 or more employees",Yearly,MacOS,Multiple times per day,Yes,Daily or almost daily,18-24 years old,Man,No,50153
I am a developer by profession,Employed full-time,France,NA,11 - 17 years,10,7,100 to 499 employees,Yearly,MacOS,Multiple times per day,Yes,I have never participated in Q&A on Stack Overflow,25-34 years old,Man,No,77831
I am a developer by profession,Employed full-time,Denmark,NA,11 - 17 years,7,3,100 to 499 employees,Monthly,Windows,Daily or almost daily,Yes,A few times per month or weekly,25-34 years old,Woman,No,81624
"I am not primarily a developer, but I write code sometimes as part of my work",Employed full-time,Germany,NA,11 - 17 years,6,2,10 to 19 employees,Yearly,Linux-based,A few times per week,Yes,Less than once per month or monthly,18-24 years old,Man,No,54049
I am a developer by profession,Employed full-time,France,NA,5 - 10 years,7,7,"10,000 or more employees",Yearly,Windows,Multiple times per day,Yes,Daily or almost daily,25-34 years old,Man,No,41077
I am a developer by profession,Employed full-time,Finland,NA,11 - 17 years,10,3,10 to 19 employees,Monthly,Windows,Daily or almost daily,Yes,A few times per month or weekly,25-34 years old,Man,No,45396
I am a developer by profession,Employed full-time,United Kingdom of Great Britain and Northern Ireland,NA,11 - 17 years,4,2,2 to 9 employees,Yearly,Windows,Daily or almost daily,Yes,A few times per month or weekly,18-24 years old,Man,No,19389
I am a developer by profession,Employed full-time,France,NA,18 - 24 years,24,15,100 to 499 employees,Yearly,Linux-based,Multiple times per day,Yes,Multiple times per day,35-44 years old,Man,No,77831
I am a developer by profession,Employed full-time,United Kingdom of Great Britain and Northern Ireland,NA,18 - 24 years,8,6,100 to 499 employees,Yearly,MacOS,Multiple times per day,Yes,A few times per month or weekly,25-34 years old,Man,No,48472
I am a developer by profession,Employed full-time,Spain,NA,18 - 24 years,9,5,20 to 99 employees,Yearly,Linux-based,Multiple times per day,Yes,Less than once per month or monthly,25-34 years old,Man,No,32429
I am a developer by profession,Employed full-time,Spain,NA,11 - 17 years,9,4,I don’t know,Yearly,Windows,Multiple times per day,Yes,Less than once per month or monthly,25-34 years old,Man,No,28105
I am a developer by profession,Employed full-time,Finland,NA,11 - 17 years,30,20,500 to 999 employees,Monthly,Linux-based,Multiple times per day,Yes,Less than once per month or monthly,45-54 years old,Man,No,77832
"I am not primarily a developer, but I write code sometimes as part of my work",Employed full-time,United Kingdom of Great Britain and Northern Ireland,NA,11 - 17 years,10,4,20 to 99 employees,Yearly,Windows,Multiple times per day,Yes,Less than once per month or monthly,25-34 years old,Man,No,51704
I am a developer by profession,Employed full-time,Germany,NA,11 - 17 years,25,15,100 to 499 employees,Yearly,Windows,Daily or almost daily,Yes,Daily or almost daily,35-44 years old,Man,No,70264
I am a developer by profession,Employed full-time,Ireland,NA,11 - 17 years,14,4,"1,000 to 4,999 employees",Monthly,Linux-based,A few times per week,Yes,A few times per month or weekly,25-34 years old,Man,No,65508
I am a developer by profession,Employed full-time,Germany,NA,11 - 17 years,31,21,20 to 99 employees,Yearly,Windows,Daily or almost daily,Yes,Daily or almost daily,35-44 years old,Man,No,70264
I am a developer by profession,Employed full-time,Sweden,NA,5 - 10 years,40,26,I don’t know,Monthly,Linux-based,A few times per week,Yes,A few times per month or weekly,45-54 years old,Man,No,81000
I am a developer by profession,Employed full-time,Germany,NA,18 - 24 years,20,5,"1,000 to 4,999 employees",Yearly,MacOS,Daily or almost daily,Yes,A few times per week,35-44 years old,Man,No,56211
"I am not primarily a developer, but I write code sometimes as part of my work",Employed full-time,United Kingdom of Great Britain and Northern Ireland,NA,18 - 24 years,10,7,100 to 499 employees,Yearly,Windows,Daily or almost daily,Yes,A few times per month or weekly,25-34 years old,Man,No,64630
I am a developer by profession,Employed full-time,Germany,NA,11 - 17 years,11,6,100 to 499 employees,Yearly,Windows,Multiple times per day,Yes,Daily or almost daily,18-24 years old,Man,No,48644
I am a developer by profession,Employed full-time,Poland,NA,25 - 34 years,17,11,"10,000 or more employees",Monthly,Windows,Multiple times per day,Yes,Less than once per month or monthly,25-34 years old,Man,No,54672
"I am not primarily a developer, but I write code sometimes as part of my work",Employed full-time,Germany,NA,11 - 17 years,14,9,"10,000 or more employees",Yearly,Linux-based,A few times per week,Yes,A few times per month or weekly,25-34 years old,Man,No,58373
I am a developer by profession,Employed full-time,Germany,NA,11 - 17 years,18,6,20 to 99 employees,Yearly,Linux-based,Daily or almost daily,Yes,A few times per month or weekly,25-34 years old,Man,No,61616
"I am not primarily a developer, but I write code sometimes as part of my work",Employed full-time,France,NA,11 - 17 years,20,13,10 to 19 employees,Yearly,MacOS,A few times per month or weekly,Yes,Less than once per month or monthly,35-44 years old,Man,No,59454
"I am not primarily a developer, but I write code sometimes as part of my work",Employed full-time,Sweden,NA,18 - 24 years,15,3,100 to 499 employees,Monthly,Windows,Multiple times per day,Yes,Multiple times per day,25-34 years old,Man,No,55224
I am a developer by profession,Employed full-time,Finland,NA,11 - 17 years,8,3,"5,000 to 9,999 employees",Monthly,Windows,Daily or almost daily,Yes,A few times per week,25-34 years old,Man,No,54216
I am a developer by profession,Employed full-time,Switzerland,NA,11 - 17 years,6,1,2 to 9 employees,Monthly,Linux-based,A few times per week,Yes,Less than once per month or monthly,18-24 years old,Man,No,54888
I am a developer by profession,Employed full-time,United Kingdom of Great Britain and Northern Ireland,NA,18 - 24 years,25,24,20 to 99 employees,Yearly,Windows,Multiple times per day,Yes,Daily or almost daily,45-54 years old,Man,No,55582
I am a developer by profession,Employed full-time,United Kingdom of Great Britain and Northern Ireland,NA,5 - 10 years,42,27,10 to 19 employees,Yearly,MacOS,Multiple times per day,Yes,Daily or almost daily,45-54 years old,Man,No,71093
I am a developer by profession,Employed full-time,United Kingdom of Great Britain and Northern Ireland,NA,5 - 10 years,30,21,10 to 19 employees,Yearly,Windows,Multiple times per day,Yes,Multiple times per day,35-44 years old,Man,No,60752
I am a developer by profession,Employed full-time,Poland,NA,11 - 17 years,26,20,500 to 999 employees,Monthly,Windows,Daily or almost daily,Yes,Daily or almost daily,35-44 years old,Man,No,30372
I am a developer by profession,Employed full-time,Belgium,NA,5 - 10 years,15,6,"1,000 to 4,999 employees",Monthly,Linux-based,Daily or almost daily,Yes,A few times per month or weekly,25-34 years old,Man,No,29832
I am a developer by profession,Employed full-time,Switzerland,NA,11 - 17 years,25,16,10 to 19 employees,Yearly,Windows,Daily or almost daily,Yes,Less than once per month or monthly,35-44 years old,Man,No,101649
I am a developer by profession,Employed full-time,Portugal,NA,18 - 24 years,8,7,20 to 99 employees,Monthly,MacOS,Multiple times per day,Yes,I have never participated in Q&A on Stack Overflow,25-34 years old,Man,No,34380
I am a developer by profession,Employed full-time,United Kingdom of Great Britain and Northern Ireland,NA,11 - 17 years,35,23,"10,000 or more employees",Yearly,MacOS,Multiple times per day,Yes,A few times per month or weekly,45-54 years old,Man,No,155111
I am a developer by profession,Employed full-time,Austria,NA,11 - 17 years,16,4,20 to 99 employees,Monthly,Windows,Daily or almost daily,Yes,I have never participated in Q&A on Stack Overflow,25-34 years old,Man,No,64860
I am a developer by profession,Employed full-time,France,NA,11 - 17 years,14,12,"1,000 to 4,999 employees",Monthly,Windows,Multiple times per day,Yes,Multiple times per day,35-44 years old,Man,No,123228
I am a developer by profession,Employed full-time,France,NA,18 - 24 years,3,3,20 to 99 employees,Yearly,MacOS,A few times per week,Yes,A few times per month or weekly,25-34 years old,Man,No,48644
I am a developer by profession,Employed full-time,Sweden,NA,11 - 17 years,12,5,"1,000 to 4,999 employees",Yearly,Linux-based,Daily or almost daily,Yes,A few times per month or weekly,25-34 years old,Man,No,54769
I am a developer by profession,Employed full-time,Poland,NA,11 - 17 years,7,5,"10,000 or more employees",Monthly,Windows,Multiple times per day,Yes,A few times per week,25-34 years old,Man,No,45564
I am a developer by profession,Employed full-time,Portugal,NA,18 - 24 years,9,4,2 to 9 employees,Monthly,Windows,Daily or almost daily,Yes,Less than once per month or monthly,25-34 years old,Man,No,24132
I am a developer by profession,Employed full-time,United Kingdom of Great Britain and Northern Ireland,NA,18 - 24 years,7,6,20 to 99 employees,Yearly,Windows,Multiple times per day,Yes,Less than once per month or monthly,25-34 years old,Man,No,54224
I am a developer by profession,Employed full-time,Switzerland,NA,18 - 24 years,11,7,20 to 99 employees,Yearly,Windows,A few times per week,Yes,I have never participated in Q&A on Stack Overflow,25-34 years old,Man,No,81319
I am a developer by profession,Employed full-time,Germany,NA,11 - 17 years,6,1,"10,000 or more employees",Yearly,Windows,Multiple times per day,Yes,A few times per week,18-24 years old,Man,No,64859
I am a developer by profession,Employed full-time,Spain,NA,11 - 17 years,10,4,500 to 999 employees,Yearly,MacOS,Multiple times per day,Yes,A few times per week,25-34 years old,Man,No,34591
I am a developer by profession,Employed full-time,Switzerland,NA,11 - 17 years,20,10,2 to 9 employees,Yearly,Linux-based,A few times per month or weekly,Yes,A few times per month or weekly,35-44 years old,Man,No,92500
I am a developer by profession,Employed full-time,United Kingdom of Great Britain and Northern Ireland,NA,25 - 34 years,9,5,20 to 99 employees,Yearly,MacOS,A few times per week,Yes,A few times per month or weekly,25-34 years old,Man,No,71093
"I am not primarily a developer, but I write code sometimes as part of my work",Employed full-time,Spain,NA,11 - 17 years,25,20,"1,000 to 4,999 employees",Yearly,Linux-based,A few times per week,Yes,Less than once per month or monthly,35-44 years old,Man,No,64859
I am a developer by profession,Employed full-time,Ireland,NA,25 - 34 years,20,15,100 to 499 employees,Yearly,Windows,Multiple times per day,Yes,Multiple times per day,45-54 years old,Man,No,48644
I am a developer by profession,Employed full-time,Italy,NA,18 - 24 years,10,3,20 to 99 employees,Yearly,MacOS,Multiple times per day,Yes,I have never participated in Q&A on Stack Overflow,25-34 years old,Man,No,35672
I am a developer by profession,Employed full-time,Belgium,NA,25 - 34 years,12,7,100 to 499 employees,Monthly,Linux-based,Multiple times per day,Yes,Multiple times per day,25-34 years old,Man,No,64860
I am a developer by profession,Employed full-time,Germany,NA,11 - 17 years,10,3,20 to 99 employees,Yearly,Linux-based,Multiple times per day,Yes,A few times per week,25-34 years old,Man,No,59454
I am a developer by profession,Employed full-time,France,NA,18 - 24 years,12,9,"5,000 to 9,999 employees",Monthly,Windows,Daily or almost daily,Yes,A few times per week,25-34 years old,Man,No,45396
I am a developer by profession,Employed full-time,Germany,NA,11 - 17 years,11,3,2 to 9 employees,Monthly,MacOS,Daily or almost daily,Yes,A few times per month or weekly,25-34 years old,Man,No,31128
I am a developer by profession,Employed full-time,France,NA,11 - 17 years,15,6,100 to 499 employees,Yearly,MacOS,Daily or almost daily,Yes,A few times per week,25-34 years old,Man,No,88640
I am a developer by profession,Employed full-time,Spain,NA,11 - 17 years,6,2,10 to 19 employees,Yearly,Linux-based,A few times per week,No,NA,18-24 years old,Man,No,20539
I am a developer by profession,Employed full-time,United Kingdom of Great Britain and Northern Ireland,NA,5 - 10 years,30,10,20 to 99 employees,Yearly,Windows,Multiple times per day,Yes,Multiple times per day,35-44 years old,Man,No,49765
I am a developer by profession,Employed full-time,France,NA,18 - 24 years,13,10,10 to 19 employees,Yearly,Linux-based,Daily or almost daily,Yes,A few times per month or weekly,25-34 years old,Man,No,48644
I am a developer by profession,Employed full-time,Switzerland,NA,11 - 17 years,20,13,2 to 9 employees,Yearly,Windows,Multiple times per day,Yes,Multiple times per day,35-44 years old,Man,No,111814
I am a developer by profession,Employed full-time,Germany,NA,11 - 17 years,23,13,"10,000 or more employees",Yearly,Windows,Daily or almost daily,Yes,Daily or almost daily,35-44 years old,Man,No,69183
I am a developer by profession,Employed full-time,Norway,NA,11 - 17 years,20,6,"1,000 to 4,999 employees",Yearly,Linux-based,A few times per week,Yes,I have never participated in Q&A on Stack Overflow,25-34 years old,Man,No,64737
I am a developer by profession,Employed full-time,Italy,NA,11 - 17 years,13,8,20 to 99 employees,Yearly,MacOS,Multiple times per day,Yes,Daily or almost daily,25-34 years old,Man,No,47563
I am a developer by profession,Employed full-time,France,NA,18 - 24 years,12,6,"1,000 to 4,999 employees",Yearly,MacOS,A few times per week,Yes,A few times per week,25-34 years old,Man,No,69183
I am a developer by profession,Employed full-time,Austria,NA,11 - 17 years,22,8,"1,000 to 4,999 employees",Yearly,Linux-based,Multiple times per day,Yes,Daily or almost daily,35-44 years old,Man,No,70264
I am a developer by profession,Employed full-time,France,NA,11 - 17 years,22,7,500 to 999 employees,Yearly,MacOS,Daily or almost daily,Yes,A few times per month or weekly,35-44 years old,Man,No,64859
I am a developer by profession,Employed full-time,Italy,NA,5 - 10 years,30,17,20 to 99 employees,Yearly,MacOS,Daily or almost daily,Yes,A few times per month or weekly,35-44 years old,Man,No,59454
"I am not primarily a developer, but I write code sometimes as part of my work",Employed full-time,France,NA,25 - 34 years,13,5,"10,000 or more employees",Yearly,Linux-based,Multiple times per day,Yes,A few times per month or weekly,25-34 years old,Man,No,36753
I am a developer by profession,Employed full-time,United Kingdom of Great Britain and Northern Ireland,NA,11 - 17 years,17,10,10 to 19 employees,Yearly,Linux-based,Multiple times per day,Yes,Less than once per month or monthly,25-34 years old,Man,No,63854
I am a developer by profession,Employed full-time,Italy,NA,11 - 17 years,3,3,"1,000 to 4,999 employees",Yearly,Windows,Multiple times per day,Yes,Multiple times per day,25-34 years old,Man,"Or, in your own words:",35672
I am a developer by profession,Employed full-time,Germany,NA,18 - 24 years,11,7,10 to 19 employees,Yearly,MacOS,A few times per month or weekly,Yes,Less than once per month or monthly,25-34 years old,Man,No,86478
I am a developer by profession,Employed full-time,Germany,NA,11 - 17 years,21,18,20 to 99 employees,Yearly,Windows,Daily or almost daily,Yes,A few times per month or weekly,35-44 years old,Man,No,54049
I am a developer by profession,Employed full-time,Poland,NA,11 - 17 years,13,6,20 to 99 employees,Monthly,Linux-based,Multiple times per day,Yes,Less than once per month or monthly,25-34 years old,Man,No,60744
I am a developer by profession,Employed full-time,France,NA,5 - 10 years,36,25,"10,000 or more employees",Yearly,Linux-based,A few times per month or weekly,Yes,A few times per month or weekly,35-44 years old,Man,No,183767
I am a developer by profession,Employed full-time,Germany,NA,11 - 17 years,13,4,10 to 19 employees,Monthly,MacOS,Multiple times per day,Yes,A few times per week,25-34 years old,Man,No,36324
I am a developer by profession,Employed full-time,Finland,NA,5 - 10 years,25,15,10 to 19 employees,Yearly,MacOS,Daily or almost daily,Yes,Daily or almost daily,25-34 years old,Man,No,59454
I am a developer by profession,Employed full-time,United Kingdom of Great Britain and Northern Ireland,NA,11 - 17 years,4,2,"10,000 or more employees",Yearly,Windows,A few times per week,Yes,Less than once per month or monthly,18-24 years old,Man,No,28437
I am a developer by profession,Employed full-time,Poland,NA,11 - 17 years,4,3,500 to 999 employees,Monthly,Windows,Multiple times per day,Yes,Less than once per month or monthly,18-24 years old,Man,No,41004
"I am not primarily a developer, but I write code sometimes as part of my work",Employed full-time,Germany,NA,11 - 17 years,25,5,"10,000 or more employees",Yearly,Windows,Daily or almost daily,Yes,I have never participated in Q&A on Stack Overflow,45-54 years old,Man,No,101612
I am a developer by profession,Employed full-time,France,NA,11 - 17 years,6,3,20 to 99 employees,Yearly,Linux-based,Multiple times per day,Yes,Multiple times per day,25-34 years old,Man,No,41077
I am a developer by profession,Employed full-time,France,NA,18 - 24 years,7,5,20 to 99 employees,Yearly,Linux-based,Multiple times per day,Yes,A few times per month or weekly,25-34 years old,Man,No,45401
I am a developer by profession,Employed full-time,United Kingdom of Great Britain and Northern Ireland,NA,18 - 24 years,7,3,20 to 99 employees,Yearly,Windows,Multiple times per day,Yes,I have never participated in Q&A on Stack Overflow,25-34 years old,Man,No,48472
I am a developer by profession,Employed full-time,United Kingdom of Great Britain and Northern Ireland,NA,11 - 17 years,8,Less than 1 year,"1,000 to 4,999 employees",Yearly,Windows,A few times per week,Yes,Less than once per month or monthly,18-24 years old,Man,No,19389
I am a developer by profession,Employed full-time,Germany,NA,18 - 24 years,11,7,20 to 99 employees,Yearly,Windows,Multiple times per day,Yes,A few times per week,25-34 years old,Man,No,43239
I am a developer by profession,Employed full-time,Spain,NA,18 - 24 years,12,8,"5,000 to 9,999 employees",Yearly,Windows,Multiple times per day,Yes,Less than once per month or monthly,25-34 years old,Man,No,16215
"I am not primarily a developer, but I write code sometimes as part of my work",Employed full-time,Germany,NA,11 - 17 years,10,7,"10,000 or more employees",Monthly,MacOS,Multiple times per day,Yes,Multiple times per day,25-34 years old,Man,No,51888
I am a developer by profession,Employed full-time,Spain,NA,5 - 10 years,35,30,"1,000 to 4,999 employees",Monthly,Linux-based,A few times per month or weekly,Yes,A few times per month or weekly,45-54 years old,Man,No,45396
I am a developer by profession,Employed full-time,Italy,NA,11 - 17 years,6,6,100 to 499 employees,Yearly,Windows,Multiple times per day,Yes,Less than once per month or monthly,25-34 years old,Man,No,33095
I am a developer by profession,Employed full-time,Belgium,NA,11 - 17 years,15,8,2 to 9 employees,Monthly,Windows,Multiple times per day,Yes,A few times per week,25-34 years old,Man,No,32424
I am a developer by profession,Employed full-time,Germany,NA,5 - 10 years,41,14,100 to 499 employees,Monthly,Linux-based,Multiple times per day,Yes,Multiple times per day,45-54 years old,Man,No,56208
I am a developer by profession,Employed full-time,Austria,NA,11 - 17 years,9,3,"5,000 to 9,999 employees",Monthly,Windows,Multiple times per day,Yes,Multiple times per day,18-24 years old,Man,No,42156
